title,slug,description,pubDate
"Navigating the database landscape: overview of SQL, MySQL, PostgreSQL, and NoSQL",sql-mysql-postgresql-nosql,"An exploration of the SQL,MySQL,PostgreSQL, and NoSQL database options and discussion on where and when to use them.","Tue, 25 Jul 2023 00:00:00 GMT"
Full-text search engine with PostgreSQL (part 2): Postgres vs Elasticsearch,postgres-full-text-search-postgres-vs-elasticsearch,Using PostgreSQL as a full-text search engine is tempting because it requires less infrastructure. But is its set of search-related features enough to compete with the Lucene based alternatives?,"Wed, 19 Jul 2023 00:00:00 GMT"
Create an advanced search engine with PostgreSQL,postgres-full-text-search-engine,PostgreSQL provides the necessary building blocks for you to combine and create your own search engine for full-text search. Let's see how far we can take it.,"Wed, 12 Jul 2023 00:00:00 GMT"
Connecting data sources to Xata with Airbyte and Zapier integrations,connecting-data-sources-xata-airbyte-zapier-integrations,Effortlessly automate data ingestion with Xata integrations,"Thu, 06 Jul 2023 00:00:00 GMT"
Postgres schema changes are still a PITA,postgres-schema-changes-pita,"Table locking, downtime risks, long running migrations, manual steps, difficult rollbacks. Is there a better way?","Thu, 29 Jun 2023 00:00:00 GMT"
Introducing the new Xata regions: Sydney & Frankfurt,new-regions_sydney-frankfurt,Discover enhanced data accessibility and global reach with Xata's newest regions.,"Tue, 27 Jun 2023 00:00:00 GMT"
"Server Actions, databases, and the future of data handling",server-actions-data-handling,Check out how Xata is improving data handling in modern apps using React advancements,"Wed, 21 Jun 2023 00:00:00 GMT"
"The next era of databases are serverless, adaptive, and collaborative",next-era-of-databases-serverless-adaptive-collaborative,"Take a look at the ideal database for tomorrow's builders: exceeding application needs, encouraging teamwork, and enhancing developer efficiency","Wed, 14 Jun 2023 00:00:00 GMT"
On the performance impact of REPLICA IDENTITY FULL in Postgres,replica-identity-full-performance,Analyzing the performance impact of REPLICA IDENTITY FULL by looking at the PostgreSQL source code and performing benchmarks.,"Wed, 07 Jun 2023 00:00:00 GMT"
Club Xata Reunion,company-offsite-milan-2023,A Remote Adventure in the Mountains. Recapping Xata's Spring 2023 offsite.,"Wed, 31 May 2023 00:00:00 GMT"
How we implemented database renaming,database-rename,"Starting today, you can now rename your Xata database","Fri, 26 May 2023 00:00:00 GMT"
XataForm is here!,xataform-is-here,"New open-source project to deal with your forms, survey and quizzes!","Thu, 04 May 2023 00:00:00 GMT"
End-to-end preview deployment workflows with Xata and Vercel,preview-deployment-vercel-xata,Preview deployments have changed the way we work. Xata's integration with Vercel brings the data layer directly into that workflow.,"Wed, 26 Apr 2023 00:00:00 GMT"
"Modern database workflows with GitHub, Vercel, Netlify, and Xata",workflow-github-vercel-netlify-xata,"Finally, a database with a complete end-to-end developer workflow.","Wed, 26 Apr 2023 00:00:00 GMT"
Accelerating time-to-market for ecommerce platform Batchoop,ecommerce-platform-batchoop,"In this community spotlight, we are excited to introduce Charles Bellorini, Xavier Dersy and their innovative tatcommerce company, Batchoop.","Thu, 20 Apr 2023 00:00:00 GMT"
Search three ways with Xata,xata-partial-fuzzy-semantic-search,"There comes a time in every project where the next feature on the roadmap is search. In this example, we’ll walk you through three different ways you can search your Xata database.","Fri, 14 Apr 2023 00:00:00 GMT"
"The story behind xata-go, a Go SDK for Xata",community-spotlight-xata-go-sdk,"Putting the community spotlight on Kerdo Kurs, the creator of xata-go, a Go SDK for Xata.","Wed, 12 Apr 2023 00:00:00 GMT"
Building a datetime picker for a database,date-time-picker-for-databases,Learn how we built a next-generation datetime picker for a next-generation database.,"Wed, 05 Apr 2023 00:00:00 GMT"
The importance of data modeling in TypeScript,the-importance-of-data-modeling-in-typescript,Take a deep dive into TypeScript to explore the importance of data modeling.,"Tue, 28 Mar 2023 00:00:00 GMT"
"Build Next.js apps with JWT authentication, Auth.js, and Xata",xata-authjs-nextjs,Use Xata and Auth․js on two Next․js apps: app directory and pages directory.,"Thu, 23 Mar 2023 00:00:00 GMT"
How we reduced our API Latency by 50% using Cloudflare,reduced-api-latency-with-cloudflare,Discover how we boosted speeds by switching to Cloudflare and get insights into our migration journey.,"Wed, 15 Mar 2023 00:00:00 GMT"
Semantic or keyword search for finding ChatGPT context. Who searched it better?,keyword-vs-semantic-search-chatgpt,The blog post compares keyword search with semantic/vector search for the task of selecting context for an ChatGPT-based questions and answers bot.,"Mon, 06 Mar 2023 00:00:00 GMT"
Xata & OpenAI: ChatGPT for your data,chatgpt-on-your-data,Use Xata to ask your data questions and get the answers that matter most.,"Thu, 02 Mar 2023 00:00:00 GMT"
"Semantic search with Xata, OpenAI, TypeScript, and Deno",semantic-search-openai-typescript-deno,Reduce complex data and perform similarity search with Xata.,"Thu, 02 Mar 2023 00:00:00 GMT"
How to fuzzy search with Xata,how-to-fuzzy-search-with-xata,Explore the world of free text search possibilities with Xata and take a deep dive into fuzzy search.,"Mon, 13 Feb 2023 00:00:00 GMT"
Xata powers search for RankOne’s social platform,community-spotlight-rankone,RankOne is using Xata to bring streamers closer to their audience.,"Tue, 07 Feb 2023 00:00:00 GMT"
A new trend for databases: platforms,database-platforms-trend,It's about more than the data stored in your table; it's what you can do with that data.,"Fri, 03 Feb 2023 00:00:00 GMT"
Announcing the winners of the Xata challenge,xata-challenge-winners,We're excited to announce the winners of the first Xata Challenge.,"Fri, 13 Jan 2023 00:00:00 GMT"
"Xata, tRPC, and Clerk: the killer combo",nextjs-trpc-clerk,Build a fully typed application with Clerk for authentication and tRPC for a robust stack.,"Fri, 13 Jan 2023 00:00:00 GMT"
Xata Workers: client-side database access without client-side secrets,xata-workers,Xata Workers act as middleware to simplify database access and deploy front-end functions on databases.,"Sun, 01 Jan 2023 00:00:00 GMT"
Hackmamba Jamstack Content Hackathon 2.0,hackmamba,"Two full weeks of learning, writing, and networking to support the dev community.","Mon, 12 Dec 2022 00:00:00 GMT"
Take a closer look at Xata's latest starter templates,new-starters-solidstart-sveltekit-astro,"Begin your Xata journey with our new starters - SolidStart, Astro, and SvelteKit.","Mon, 12 Dec 2022 00:00:00 GMT"
Searching for retro games with Xata & Next.js 13,search-retro-games,Creating a full-stack web app to search retro games data and prioritize highly-rated games in the results.,"Wed, 02 Nov 2022 00:00:00 GMT"
Xata is now live,xata-public-release,"After more than a year of hard work and addressing feedback from developers, Xata is now available!","Wed, 02 Nov 2022 00:00:00 GMT"
The future of data fetching with Next.Js 13,nextjs-13-future-of-data-fetching,Discover Next.js' new data fetching features and seamless integration with Xata in its latest release.,"Wed, 26 Oct 2022 00:00:00 GMT"
Securely querying your database with Xata,securely-querying-your-database-on-xata,Connect to a Xata database and fetch data from client-side apps without exposing security keys.,"Mon, 24 Oct 2022 00:00:00 GMT"
A journey to bulletproof links in documentation,bulletproof-docs-links,"Learn how we solved the issue of broken internal links in our documentation, once and for all.","Mon, 05 Sep 2022 00:00:00 GMT"
The Xata serverless database community,xata-serverless-database-community,"Join the Xata serverless database community on Discord for free and inclusive networking, and learning opportunities.","Wed, 03 Aug 2022 00:00:00 GMT"
From OpenAPI to type safe react-query hooks,openapi-typesafe-react-query-hooks,Learn how we build predictable API communications with the OpenAPI codegen.,"Tue, 12 Apr 2022 00:00:00 GMT"
Coming together to build Xata,offsite-for-a-fully-remote-team,"Take a look at our photo-blog post about Xata's first off-site, featuring insights on our learnings.","Mon, 04 Apr 2022 00:00:00 GMT"
Branching brings predictability to web development,branching-benefits-git-databases,Explore the advantages of branching in developer workflows and how Xata brings these benefits to data infrastructure.,"Mon, 21 Mar 2022 00:00:00 GMT"
Xata launches a serverless database with the usability of a spreadsheet,xata-series-a-announcement,"We’re excited to announce that we’ve raised a Series A investment of $30M, co-lead by Redpoint and Index Ventures.","Tue, 08 Mar 2022 00:00:00 GMT"
Jamstack: a deep dive,jamstack-mern-lamp-stack-comparison,"Explore Jamstack, its alternatives, and how Xata complements it with a serverless database.","Mon, 28 Feb 2022 00:00:00 GMT"
Talking about serverless databases,what-is-a-serverless-database,Proposing a definition for serverless databases and adding some clarity to the discussion.,"Sun, 06 Feb 2022 00:00:00 GMT"
"Hello, world! Xata raises $5M for a new type of serverless database",hello-world,Learn what Xata is and how it can revolutionize your development experience.,"Mon, 13 Sep 2021 00:00:00 GMT"